day,rent,humidity,temperature,dust
2022-06-21,178590,72.6,26.5,29
2022-06-22,182183,71.1,25.9,28
2022-06-23,54576,89.1,24.3,27
2022-06-25,146769,80.4,26,47
2022-06-26,122474,82.1,26.5,23
2022-06-27,94761,84.4,26.8,12
2022-06-28,112003,81.9,26.9,18
2022-06-29,52664,95.5,25.1,14
2022-07-01,157478,83.3,26.6,20
2022-07-02,131815,72.8,28.8,29
2022-07-03,114470,68.6,29.3,36
2022-07-04,151497,71.8,29.3,38
2022-07-05,149259,73.8,29.2,34
2022-07-06,142649,76,29.5,32
2022-07-07,116854,82.3,28.2,22
2022-07-08,150313,84.4,25.8,22
2022-07-09,134633,82.1,26.9,23
2022-07-10,110494,68,29.2,41
2022-07-11,146165,75,27,26
2022-07-12,167309,73.1,26.8,14
2022-07-13,21922,93.9,25,16
2022-07-14,152774,84.6,25.7,14
2022-07-15,167144,76.5,26,25
2022-07-16,110506,83.4,24.8,27
2022-07-17,128631,78.9,25.5,26
2022-07-18,166820,76,26.8,26
2022-07-19,168900,74.1,27.4,34
2022-07-20,145087,76.1,27.1,31
2022-07-21,112449,87.6,23.2,13
2022-07-22,153209,81.5,25.1,29
2022-07-23,79826,83.6,24.8,33
2022-07-24,113217,86.9,25,18
2022-07-25,145899,75,27.5,24
2022-07-26,160600,72.5,28.9,33
2022-07-27,161296,66.3,29.3,38
2022-07-28,155345,63.8,29.7,28
2022-07-29,147170,68.1,30.7,25
2022-07-30,107582,68.4,30.9,23
2022-07-31,29814,85.8,27.2,13
2022-08-01,108030,82.4,28.6,21
2022-08-03,102130,90.1,27.1,26
2022-08-04,148807,79.3,28.9,21
2022-08-05,145855,76.6,29.4,18
2022-08-06,106406,85.3,28.7,33
2022-08-07,97939,82.1,28.9,26
2022-08-10,108151,85.3,24.7,20
2022-08-11,108359,87.9,25,15
2022-08-12,147097,73.8,27,27
2022-08-13,82347,82.8,25.8,28
2022-08-14,87778,83,27.6,23
2022-08-15,83889,83,28.1,24
2022-08-16,154263,75.4,26.7,24
2022-08-17,157994,76.6,26,24
2022-08-18,162179,75.8,25.6,23
2022-08-19,83749,86.1,26,26
2022-08-20,124465,80,28.2,25
2022-08-21,122389,75.3,28.1,27
2022-08-22,146073,75.6,26.8,24
2022-08-23,152206,75,25.4,18
2022-08-24,174857,66.9,24.8,18
2022-08-25,135159,78,22.2,19
2022-08-26,177282,75.3,23.8,33
2022-08-27,173160,63.1,21.5,20
2022-08-28,160420,59.4,22.6,18
2022-08-29,108865,74,21,13
2022-08-30,16813,96.3,19.1,8
2022-08-31,164301,83.3,21.7,11
2022-09-01,179336,70.8,24,19
2022-09-02,187990,61.8,24.7,18
2022-09-03,170688,63,24.2,13
2022-09-04,39346,88.6,22.3,12
2022-09-07,179905,65.3,22.8,31
2022-09-08,183813,65.5,23.2,30
2022-09-09,123214,59.1,24.3,22
2022-09-10,108686,52.3,23.6,14
2022-09-11,107761,68.6,23.3,20
2022-09-12,151839,76.1,23.8,22
2022-09-13,167657,73,24.3,19
2022-09-14,179633,56.9,24.6,19
2022-09-15,184021,66.9,25.2,21
2022-09-16,132178,78.6,25.7,24
2022-09-17,147264,83.1,25.6,21
2022-09-18,146847,75.3,27.1,22
2022-09-19,183189,63.1,24.6,16
2022-09-20,191649,57,19.9,26
2022-09-21,191553,56.9,19.4,30
2022-09-22,189285,60.1,19.8,31
2022-09-23,178981,68.9,17.5,26
2022-09-24,176719,64.6,18.5,20
2022-09-25,162743,63.3,19.6,24
2022-09-26,187571,58.5,20,27
2022-09-27,190672,59,20.9,27
2022-09-28,191600,71,20.4,36
2022-09-29,186204,73.5,20.4,52
2022-09-30,192638,68,20.7,50
2022-10-01,167146,63.3,20.9,48
2022-10-02,74506,78.9,19.4,31
2022-10-03,10809,98.5,21.4,14
2022-10-04,146100,83.8,17.9,17
2022-10-05,179824,74.8,16.6,19
2022-10-07,181964,69.5,14.3,15
2022-10-09,24968,85.8,13.1,10
2022-10-11,157516,69.1,11.1,24
2022-10-12,171262,68.1,13.5,25
2022-10-13,175695,69.6,16.3,24
2022-10-14,180404,73.4,17.1,28
2022-10-15,160508,68.5,18.2,34
2022-10-16,134682,73.9,16.9,38
2022-10-17,149615,50.3,11.2,30
2022-10-18,152318,52.1,9.4,25
2022-10-19,159650,57.8,10.5,28
2022-10-20,163096,64.4,12.9,39
2022-10-21,167708,68.8,14,50
2022-10-22,146898,76.3,15.1,35
2022-10-23,124544,65,14,37
2022-10-24,147964,52.6,10.6,28
2022-10-27,163519,71.8,13.2,32
2022-10-28,167013,70.1,13.6,43
2022-10-29,146310,65.9,14.8,26
2022-10-30,126689,64.5,14.9,26
2022-10-31,160105,69.8,14.9,27
2022-11-01,162918,73.5,13.1,42
2022-11-02,161139,57.1,11.1,33
2022-11-03,146670,58.1,9.3,28
2022-11-04,127701,41.8,4.9,27
2022-11-05,109291,51.3,6.5,34
2022-11-06,106962,60.5,9.6,29
2022-11-07,146674,64.5,11.4,36
2022-11-08,157941,68.3,12.9,41
2022-11-09,157102,76,11.4,65
2022-11-10,158857,74.5,13.5,69
2022-11-11,165833,62.5,15.6,53
2022-11-12,66917,80,16.3,45
2022-11-13,87874,85.6,10.3,17
2022-11-14,141077,74.8,9.7,23
2022-11-15,125177,77.4,8.1,31
2022-11-16,141697,71.3,8.5,27
2022-11-17,148576,64.6,10.2,38
2022-11-18,152302,69.6,11,38
2022-11-19,126814,55.8,12.9,31
2022-11-20,119927,58.3,13.7,29
2022-11-21,147806,70.5,11.8,36
2022-11-22,140744,69.9,10.7,53
2022-11-23,148238,56,10.8,37
2022-11-24,146932,65.6,9.4,49
2022-11-25,145164,67.1,12.3,52
2022-11-26,90547,52.4,6.7,64
2022-11-27,82725,43.1,5.4,22
2022-11-28,57036,65.5,12.3,30
2022-11-29,92580,67,6.9,17
2022-11-30,75346,49.1,-5.4,24
2022-12-01,74904,43.4,-5.4,25
2022-12-02,84067,42,-2.5,23
2022-12-03,57915,70.5,2.1,36
2022-12-04,44873,38.9,-3.5,16
2022-12-05,77693,41.9,-3.1,22
2022-12-06,80832,62.8,0.9,30
2022-12-07,96195,60.4,4.9,37
2022-12-08,100979,57.5,3.7,31
2022-12-09,102213,60.8,4.5,39
2022-12-10,72960,46.5,2.6,37
2022-12-11,60129,52.5,1.6,43
2022-12-12,59098,73.4,2,32
2022-12-13,57490,70.8,0,247
2022-12-14,54486,50.1,-8.4,59
2022-12-15,37021,79.1,-4.5,34
2022-12-16,41953,56.9,-6.3,31
2022-12-17,31405,52,-7,25
2022-12-18,25468,47.1,-9.5,23
2022-12-19,51854,55.6,-7,23
2022-12-20,64282,55.8,-3.2,33
2022-12-21,31784,82.4,-0.1,39
2022-12-22,39874,60.5,-7.8,30
2022-12-23,33723,60.5,-11.8,22
2022-12-24,28612,54.9,-8.4,30
2022-12-25,25623,66.5,-5.4,41
2022-12-26,52582,68.4,-3.9,46
2022-12-27,58890,69.8,-2.6,46
2022-12-28,54012,58.1,-3.3,35
2022-12-29,57393,56.3,-2.9,30
2022-12-30,56058,65.6,-1.8,34
2022-12-31,42347,65.5,-1.2,48
